CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0137,0.9784042386036811
C0001,C0152,0.9694749950982715
C0001,C0056,0.8529657835569372
C0002,C0029,0.9163898156604338
C0002,C0199,0.8784846266824754
C0002,C0031,0.8552106904475502
C0003,C0178,0.9807348823143739
C0003,C0035,0.8594593257807894
C0003,C0146,0.844969731022891
C0004,C0021,0.9529358294411286
C0004,C0101,0.8703844561120812
C0004,C0145,0.7597694069131927
C0005,C0073,0.9618711117774134
C0005,C0159,0.9455985506927714
C0005,C0112,0.8987666846673571
C0006,C0079,0.9723140856414245
C0006,C0117,0.8086993525102882
C0006,C0158,0.6224416476599164
C0007,C0085,0.9728582712199746
C0007,C0120,0.8580048264130743
C0007,C0042,0.7890926464180031
C0008,C0084,0.6481892680621831
C0008,C0109,0.5373340425682369
C0008,C0147,0.5120858387537668
C0009,C0077,0.9180810733890983
C0009,C0032,0.7480173188104371
C0009,C0043,0.7385909682966575
C0010,C0029,0.9249919529417995
C0010,C0025,0.8683439712122957
C0010,C0002,0.853002757995503
C0011,C0107,0.9036896507360433
C0011,C0183,0.8922353577972945
C0011,C0048,0.8916598764012401
C0012,C0155,0.8934852340308642
C0012,C0122,0.8856715452673538
C0012,C0108,0.7626105905342281
C0013,C0045,0.9830178271753669
C0013,C0143,0.9653960313682747
C0013,C0041,0.891767869756071
C0014,C0058,0.7518549671449857
C0014,C0151,0.7130848481748452
C0014,C0128,0.6277220635819034
C0015,C0095,0.7837197938049828
C0015,C0144,0.7573520727181583
C0015,C0063,0.6755180364033968
C0016,C0048,0.9769541664915834
C0016,C0183,0.9762642536770897
C0016,C0011,0.873291254862834
C0017,C0162,0.9645358638251177
C0017,C0113,0.9576201851319647
C0017,C0004,0.686615431568553
C0018,C0200,0.9771747608516711
C0018,C0170,0.8691201950566387
C0018,C0187,0.8545548843436528
C0019,C0172,0.9860614334543708
C0019,C0111,0.6721936199460565
C0019,C0157,0.6717447747782797
C0020,C0110,0.9220049884094844
C0020,C0078,0.7629936410026645
C0020,C0080,0.7344235860038087
